,Subtype
A04321,B
AB001137,B
AB002829,B
AB002844,B
AB002872,B
AB002885,B
AB002906,B
AB002911,B
AB002922,B
AB002964,B
AB002988,B
AB002998,B
AB003012,B
AB007268,B
AB010409,B
AB010410,B
AB010411,B
AB010412,B
AB010413,B
AB010747,B
AB010748,B
AB010749,B
AB010750,B
AB010751,B
AB010752,B
AB010753,B
AB010754,B
AB010756,B
AB010757,B
AB010758,B
AB010759,B
AB010760,B
AB010761,B
AB010762,B
AB010763,B
AB010764,B
AB010766,B
AB010767,B
AB010768,B
AB010769,B
AB010770,B
AB010771,B
AB010772,B
AB010773,B
AB010774,B
AB010775,B
AB012962,B
AB012963,B
AB012964,B
AB012965,B
AB012966,B
AB012967,B
AB012968,B
AB012969,B
AB012970,B
AB012971,B
AB012972,B
AB012973,B
AB012974,B
AB012975,B
AB012976,B
AB012977,B
AB012978,B
AB012979,B
AB012980,B
AB012981,B
AB012982,B
AB012983,B
AB012984,B
AB012985,B
AB012986,B
AB012994,B
AB023804,C
AB025098,B
AB036937,B
AB036945,B
AB037015,B
AB037016,B
AB037017,B
AB037018,B
AB037019,B
AB037020,B
AB037021,B
AB037022,B
AB037023,B
AB037024,B
AB037025,B
AB037027,B
AB037028,B
AB037030,B
AB037031,B
AB037032,B
AB037034,B
AB037036,B
AB037037,B
AB037038,B
AB042439,B
AB042441,C
AB042443,B
AB042444,B
AB042445,B
AB042448,C
AB042449,C
AB042450,C
AB042452,C
AB042457,B
AB042468,C
AB042469,C
AB050022,B
AB050024,B
AB050029,B
AB050030,B
AB050905,C
AB050906,C
AB050907,C
AB050908,C
AB050909,C
AB050910,C
AB050911,C
AB050912,C
AB050914,C
AB050915,C
AB050916,C
AB050917,C
AB050918,C
AB050920,C
AB050921,C
AB050922,C
AB050923,C
AB050924,C
AB050925,C
AB050926,C
AB050927,C
AB050928,C
AB050929,C
AB050930,C
AB050931,C
AB050932,C
AB059279,B
AB059297,B
AB059317,B
AB077767,B
AB077768,B
AB077769,B
AB077770,B
AB077771,B
AB077772,B
AB077773,B
AB077774,B
AB077775,B
AB077776,B
AB077777,B
AB077778,B
AB077779,B
AB077780,B
AB077781,B
AB077782,B
AB077783,B
AB077784,B
AB077785,B
AB077786,B
AB077787,B
AB077788,B
AB077789,B
AB077790,B
AB077791,B
AB077793,B
AB077794,B
AB077795,B
AB077796,B
AB077797,B
AB077798,B
AB077799,B
AB077800,B
AB077801,B
AB077802,B
AB077803,B
AB077804,B
AB077805,B
AB077806,B
AB077807,B
AB077809,B
AB077810,B
AB077811,B
